epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8137,0.48922,1.29953,1.13996,0.76652,0.77183,0.82408,0.73471,0.57943,1.0284,0.74378,0.000331522,0.000331522,0.0671793
2,160.411,0.36276,0.78076,1.02259,0.8185,0.39419,0.2904,0.26257,0.74338,4.03848,0.85784,0.000653885,0.000653885,0.0341684
3,241.105,0.33337,0.68689,1.00842,0.68891,0.68294,0.76401,0.63538,0.44333,1.31493,0.63096,0.000965248,0.000965248,0.00114641
4,314.976,0.30147,0.62869,0.99428,0.73601,0.86542,0.89254,0.86335,0.25975,0.78739,0.46054,0.0009505,0.0009505,0.0009505
5,390.526,0.27138,0.56635,0.97757,0.91536,0.90226,0.95064,0.94065,0.2151,0.47426,0.39203,0.000934,0.000934,0.000934
6,466.59,0.25467,0.52185,0.97213,0.81189,0.84454,0.92179,0.91437,0.25149,0.69914,0.4722,0.0009175,0.0009175,0.0009175
7,541.343,0.25143,0.5068,0.97259,0.86302,0.93066,0.94846,0.93789,0.26816,0.46976,0.44701,0.000901,0.000901,0.000901
8,616.026,0.24231,0.50022,0.97802,0.69104,0.76037,0.81876,0.79945,0.32382,1.28611,0.46367,0.0008845,0.0008845,0.0008845
9,691.157,0.2159,0.4516,0.95064,0.86703,0.92833,0.95592,0.95238,0.20987,0.38122,0.32842,0.000868,0.000868,0.000868
10,766.321,0.22118,0.49154,0.97161,0.90976,0.90909,0.95749,0.95225,0.27569,0.38016,0.40516,0.0008515,0.0008515,0.0008515
11,839.538,0.21088,0.44945,0.95473,0.93723,0.91723,0.96297,0.9468,0.2543,0.41935,0.40838,0.000835,0.000835,0.000835
12,914.319,0.20092,0.43116,0.95085,0.92275,0.92455,0.95945,0.94857,0.32047,0.50128,0.47774,0.0008185,0.0008185,0.0008185
13,986.965,0.19204,0.42024,0.94476,0.88736,0.90755,0.94975,0.94591,0.18166,0.3756,0.33875,0.000802,0.000802,0.000802
14,1058.71,0.18944,0.41008,0.94159,0.82065,0.89915,0.95568,0.95011,0.23262,0.41172,0.36113,0.0007855,0.0007855,0.0007855
15,1131.35,0.18752,0.40294,0.95055,0.89831,0.92323,0.95991,0.95894,0.18937,0.37521,0.32082,0.000769,0.000769,0.000769
16,1207.4,0.1853,0.38511,0.93973,0.92498,0.9411,0.96788,0.96127,0.24603,0.36282,0.361,0.0007525,0.0007525,0.0007525
17,1285.48,0.17084,0.37887,0.93672,0.88826,0.92492,0.96299,0.95955,0.1857,0.38475,0.35818,0.000736,0.000736,0.000736
18,1359.15,0.17301,0.37017,0.93613,0.74865,0.8677,0.92431,0.91997,0.18251,0.61448,0.31981,0.0007195,0.0007195,0.0007195
19,1434.29,0.16871,0.37276,0.9378,0.93421,0.94705,0.97716,0.97706,0.15859,0.29441,0.31059,0.000703,0.000703,0.000703
20,1509.27,0.16625,0.3796,0.93587,0.86018,0.90752,0.96445,0.96157,0.24864,0.43478,0.35905,0.0006865,0.0006865,0.0006865
21,1583.67,0.16436,0.36153,0.93036,0.92027,0.92438,0.96014,0.95429,0.23667,0.37974,0.36661,0.00067,0.00067,0.00067
22,1655.94,0.16304,0.35401,0.93679,0.95284,0.94339,0.97259,0.97075,0.15143,0.30828,0.29296,0.0006535,0.0006535,0.0006535
23,1729.96,0.1695,0.35967,0.9656,0.94246,0.92668,0.97651,0.97374,0.19336,0.32074,0.31811,0.000637,0.000637,0.000637
24,1804.35,0.15748,0.34577,0.93058,0.9552,0.94935,0.98013,0.98002,0.14221,0.24733,0.29013,0.0006205,0.0006205,0.0006205
25,1879.03,0.15373,0.3311,0.92947,0.94402,0.94768,0.97946,0.97925,0.12632,0.25319,0.2826,0.000604,0.000604,0.000604
26,1953.26,0.15235,0.32432,0.93003,0.95765,0.93319,0.97598,0.97526,0.17706,0.30122,0.29066,0.0005875,0.0005875,0.0005875
27,2028.5,0.16112,0.33658,0.93714,0.94319,0.90737,0.97637,0.97574,0.13148,0.2925,0.27133,0.000571,0.000571,0.000571
28,2102.97,0.14413,0.31767,0.92554,0.92574,0.91078,0.96184,0.96145,0.18979,0.32717,0.3301,0.0005545,0.0005545,0.0005545
29,2177.16,0.14707,0.33247,0.93203,0.87979,0.90415,0.96044,0.95925,0.14527,0.34864,0.2709,0.000538,0.000538,0.000538
30,2252.41,0.14481,0.31701,0.92803,0.96546,0.91215,0.97298,0.97181,0.15672,0.28234,0.2953,0.0005215,0.0005215,0.0005215
31,2325.95,0.16519,0.32188,0.97962,0.95806,0.95007,0.98006,0.97974,0.14164,0.24082,0.28055,0.000505,0.000505,0.000505
32,2398.86,0.13761,0.29754,0.92356,0.95335,0.95842,0.98204,0.98158,0.13527,0.24294,0.27686,0.0004885,0.0004885,0.0004885
33,2473.62,0.1432,0.30793,0.93209,0.93609,0.93039,0.97176,0.97144,0.12602,0.26325,0.28165,0.000472,0.000472,0.000472
34,2547.7,0.15463,0.32243,0.95619,0.95062,0.93834,0.97882,0.97857,0.11854,0.26539,0.26928,0.0004555,0.0004555,0.0004555
35,2622.46,0.13265,0.28858,0.92156,0.93748,0.93202,0.97824,0.97784,0.14824,0.26171,0.30752,0.000439,0.000439,0.000439
36,2696.41,0.14237,0.30646,0.94113,0.94099,0.92156,0.9757,0.97533,0.10963,0.25232,0.25583,0.0004225,0.0004225,0.0004225
37,2770.38,0.13058,0.29116,0.92143,0.9606,0.94905,0.98154,0.98142,0.15474,0.25056,0.28151,0.000406,0.000406,0.000406
38,2842.6,0.13407,0.28088,0.9266,0.93618,0.97164,0.98139,0.98137,0.16606,0.28195,0.2927,0.0003895,0.0003895,0.0003895
39,2914.16,0.12512,0.28897,0.925,0.93007,0.9662,0.9794,0.97932,0.11094,0.19814,0.25698,0.000373,0.000373,0.000373
40,2986.88,0.13073,0.27589,0.92515,0.96158,0.9518,0.97989,0.97989,0.14791,0.22465,0.26194,0.0003565,0.0003565,0.0003565
41,3060.32,0.12276,0.27846,0.91959,0.95619,0.95253,0.98209,0.98208,0.10712,0.2274,0.26369,0.00034,0.00034,0.00034
42,3134.05,0.12713,0.2846,0.92756,0.96282,0.95647,0.98189,0.98176,0.10481,0.22875,0.26938,0.0003235,0.0003235,0.0003235
43,3204.18,0.12074,0.26789,0.92342,0.94716,0.95645,0.98433,0.98431,0.09702,0.20871,0.24028,0.000307,0.000307,0.000307
44,3276.95,0.13094,0.2886,0.93047,0.97107,0.94699,0.98206,0.98166,0.12758,0.2429,0.25865,0.0002905,0.0002905,0.0002905
45,3349.93,0.1174,0.25017,0.91747,0.94317,0.94267,0.98085,0.98075,0.08552,0.23675,0.22996,0.000274,0.000274,0.000274
