epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4195,0.57547,1.75343,1.21646,0.65721,0.8909,0.78479,0.72634,0.4109,1.11944,0.60047,0.000328889,0.000328889,0.06744
2,56.9851,0.34321,0.96807,1.01235,0.83986,0.85782,0.94476,0.93228,0.2614,0.89809,0.45819,0.000651296,0.000651296,0.0344291
3,86.0679,0.34743,0.86142,1.01491,0.75258,0.81721,0.86927,0.85243,0.28854,0.92111,0.48213,0.000962702,0.000962702,0.00140715
4,114.528,0.32326,0.77934,0.99319,0.88059,0.89678,0.95525,0.91987,0.37208,0.68575,0.58282,0.0009505,0.0009505,0.0009505
5,142.307,0.30998,0.74383,0.99342,0.91185,0.92433,0.97612,0.93138,0.35242,0.64591,0.55085,0.000934,0.000934,0.000934
6,170.87,0.27764,0.6879,0.97957,0.9056,0.92351,0.98779,0.98712,0.1762,0.47996,0.28556,0.0009175,0.0009175,0.0009175
7,199.002,0.26665,0.65988,0.97828,0.85425,0.8804,0.96478,0.9474,0.2797,0.68386,0.41065,0.000901,0.000901,0.000901
8,225.849,0.25289,0.60633,0.96478,0.85626,0.87829,0.89994,0.87443,0.31806,0.67107,0.56506,0.0008845,0.0008845,0.0008845
9,253.288,0.24674,0.59554,0.96711,0.846,0.82423,0.96082,0.95647,0.20781,0.64302,0.37054,0.000868,0.000868,0.000868
10,281.662,0.23841,0.55808,0.9519,0.95858,0.95492,0.9874,0.98447,0.19717,0.31053,0.34681,0.0008515,0.0008515,0.0008515
11,309.722,0.21949,0.56503,0.95053,0.92788,0.93272,0.98583,0.96349,0.23628,0.41196,0.34108,0.000835,0.000835,0.000835
12,337.913,0.23321,0.53378,0.95961,0.89503,0.91063,0.98239,0.97519,0.21678,0.45222,0.30215,0.0008185,0.0008185,0.0008185
13,366.304,0.23288,0.54369,0.956,0.9591,0.95216,0.98922,0.97865,0.2027,0.29587,0.30247,0.000802,0.000802,0.000802
14,394.291,0.21514,0.52225,0.95026,0.95407,0.91269,0.98459,0.9842,0.13504,0.30833,0.30452,0.0007855,0.0007855,0.0007855
15,421.433,0.21481,0.51705,0.9515,0.95583,0.96114,0.98853,0.98434,0.19996,0.3094,0.37355,0.000769,0.000769,0.000769
16,449.381,0.21469,0.5107,0.95328,0.94765,0.93569,0.9831,0.97948,0.14935,0.33539,0.24655,0.0007525,0.0007525,0.0007525
17,477.732,0.20813,0.48647,0.94677,0.96311,0.93495,0.98913,0.98883,0.12292,0.26308,0.24071,0.000736,0.000736,0.000736
18,506.413,0.20141,0.48339,0.94264,0.93585,0.92857,0.98204,0.9766,0.20569,0.36584,0.37202,0.0007195,0.0007195,0.0007195
19,534.576,0.18884,0.48859,0.93856,0.94942,0.93977,0.98534,0.98281,0.16605,0.26421,0.28186,0.000703,0.000703,0.000703
20,562.696,0.18784,0.50077,0.94191,0.94309,0.93929,0.9888,0.94152,0.25154,0.31586,0.33281,0.0006865,0.0006865,0.0006865
21,590.489,0.18897,0.479,0.93311,0.91877,0.94921,0.98874,0.9885,0.11716,0.3337,0.24715,0.00067,0.00067,0.00067
22,620.21,0.19191,0.48566,0.93527,0.9467,0.95964,0.98589,0.98341,0.15504,0.25179,0.22785,0.0006535,0.0006535,0.0006535
23,651.625,0.18543,0.4847,0.93861,0.96564,0.94173,0.98641,0.98349,0.18315,0.29915,0.26191,0.000637,0.000637,0.000637
24,682.056,0.17575,0.43854,0.93111,0.91824,0.93178,0.98422,0.98237,0.13296,0.35221,0.24975,0.0006205,0.0006205,0.0006205
25,711.228,0.18917,0.4486,0.93958,0.96045,0.96788,0.99028,0.98895,0.17013,0.26074,0.27658,0.000604,0.000604,0.000604
26,742.554,0.18635,0.4196,0.94445,0.90224,0.89847,0.98235,0.98022,0.16449,0.36152,0.26225,0.0005875,0.0005875,0.0005875
27,770.417,0.17424,0.42523,0.93032,0.93099,0.94719,0.9804,0.97039,0.24455,0.34245,0.30402,0.000571,0.000571,0.000571
28,800.039,0.1704,0.41672,0.93191,0.94518,0.96849,0.98303,0.97726,0.17727,0.23876,0.32297,0.0005545,0.0005545,0.0005545
29,830.356,0.17013,0.43037,0.93564,0.93931,0.92531,0.98615,0.98475,0.12711,0.31489,0.23688,0.000538,0.000538,0.000538
30,859.423,0.16389,0.40511,0.93614,0.96503,0.96099,0.99004,0.97503,0.22925,0.24908,0.30046,0.0005215,0.0005215,0.0005215
31,889.538,0.15863,0.39555,0.92823,0.96459,0.94134,0.99136,0.99136,0.09116,0.22266,0.19922,0.000505,0.000505,0.000505
32,919.312,0.16436,0.40377,0.92904,0.95087,0.95198,0.98951,0.98724,0.13177,0.27438,0.27311,0.0004885,0.0004885,0.0004885
33,948.179,0.15634,0.3968,0.92608,0.97158,0.96666,0.98999,0.98841,0.12525,0.20686,0.2319,0.000472,0.000472,0.000472
34,977.17,0.16034,0.40174,0.92959,0.96358,0.93635,0.99086,0.99054,0.10661,0.24432,0.21415,0.0004555,0.0004555,0.0004555
35,1006.45,0.15776,0.39565,0.93183,0.97168,0.96378,0.99018,0.98411,0.15933,0.25782,0.27802,0.000439,0.000439,0.000439
36,1035.44,0.15218,0.39797,0.93753,0.97146,0.95422,0.99101,0.9907,0.09999,0.17612,0.18576,0.0004225,0.0004225,0.0004225
37,1064.37,0.15182,0.37218,0.93043,0.93408,0.92648,0.97789,0.97371,0.15565,0.36343,0.24856,0.000406,0.000406,0.000406
38,1094.21,0.15898,0.39792,0.92784,0.96068,0.93641,0.98094,0.97915,0.12841,0.24067,0.24698,0.0003895,0.0003895,0.0003895
39,1123.27,0.15282,0.38356,0.92741,0.95693,0.97484,0.99139,0.99124,0.10117,0.1764,0.22465,0.000373,0.000373,0.000373
40,1151.95,0.14655,0.35249,0.9245,0.98297,0.95141,0.99178,0.99167,0.07953,0.16725,0.18906,0.0003565,0.0003565,0.0003565
41,1181.98,0.14847,0.35823,0.92532,0.98354,0.95981,0.99337,0.99328,0.08365,0.1853,0.20155,0.00034,0.00034,0.00034
42,1211.13,0.14288,0.34519,0.92288,0.97958,0.96282,0.99129,0.9907,0.10214,0.19075,0.2037,0.0003235,0.0003235,0.0003235
43,1239.93,0.14157,0.35871,0.91718,0.93358,0.9745,0.99168,0.99152,0.07954,0.17656,0.17444,0.000307,0.000307,0.000307
44,1269.13,0.13762,0.34285,0.92669,0.97172,0.9838,0.99219,0.99159,0.18041,0.27507,0.2378,0.0002905,0.0002905,0.0002905
45,1298.41,0.13782,0.32461,0.92934,0.94849,0.9427,0.99254,0.9899,0.10074,0.22732,0.18054,0.000274,0.000274,0.000274
46,1327.56,0.1346,0.33193,0.91868,0.97552,0.963,0.99136,0.99136,0.08925,0.16129,0.2057,0.0002575,0.0002575,0.0002575
47,1356.6,0.13004,0.3212,0.92047,0.98414,0.97568,0.99366,0.9933,0.11934,0.20533,0.21853,0.000241,0.000241,0.000241
48,1386.44,0.12695,0.32193,0.9227,0.97036,0.97259,0.99008,0.98922,0.13161,0.24611,0.23218,0.0002245,0.0002245,0.0002245
49,1416.07,0.12152,0.30161,0.9187,0.97408,0.97848,0.9911,0.9911,0.10277,0.2459,0.19941,0.000208,0.000208,0.000208
50,1444.92,0.11925,0.30112,0.91613,0.9781,0.96528,0.99211,0.99211,0.07369,0.16314,0.16202,0.0001915,0.0001915,0.0001915
51,1476.39,0.15923,0.27653,1.00397,0.98065,0.97018,0.99183,0.99103,0.08945,0.1745,0.16612,0.000175,0.000175,0.000175
52,1503.32,0.14763,0.18391,0.9913,0.97218,0.97291,0.99351,0.99351,0.06555,0.15585,0.18935,0.0001585,0.0001585,0.0001585
53,1531.48,0.13707,0.17383,0.98034,0.96065,0.98186,0.9918,0.9918,0.06493,0.15028,0.17892,0.000142,0.000142,0.000142
54,1558.07,0.13777,0.15839,0.9733,0.97849,0.97488,0.99153,0.99153,0.07261,0.13812,0.16457,0.0001255,0.0001255,0.0001255
55,1585.1,0.12202,0.1446,0.95809,0.9608,0.96954,0.98879,0.98879,0.04648,0.15427,0.16918,0.000109,0.000109,0.000109
56,1612.65,0.1287,0.1463,0.96623,0.96778,0.96578,0.98984,0.98984,0.08061,0.16649,0.17703,9.25e-05,9.25e-05,9.25e-05
57,1640.29,0.12281,0.13986,0.95841,0.97424,0.97414,0.99175,0.99175,0.0591,0.12926,0.16223,7.6e-05,7.6e-05,7.6e-05
58,1667.7,0.12322,0.13353,0.9701,0.96938,0.96715,0.99062,0.99062,0.04991,0.1403,0.15674,5.95e-05,5.95e-05,5.95e-05
59,1693.5,0.12471,0.12974,0.96254,0.96344,0.97574,0.99055,0.99055,0.06043,0.14868,0.15256,4.3e-05,4.3e-05,4.3e-05
60,1720.52,0.11606,0.12221,0.96205,0.97362,0.9755,0.99121,0.99121,0.05106,0.13649,0.15299,2.65e-05,2.65e-05,2.65e-05
