epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6958,0.46951,1.75094,1.12769,0.56693,0.72417,0.70881,0.5869,0.66023,1.56263,1.04206,0.000330667,0.000330667,0.067264
2,96.2657,0.33464,0.96091,1.01294,0.77406,0.88044,0.92647,0.78542,0.60582,1.05617,0.81262,0.000653044,0.000653044,0.034253
3,143.314,0.30252,0.75672,0.98934,0.29887,0.918,0.47686,0.44568,0.41939,3.07223,0.59385,0.000964421,0.000964421,0.00123109
4,189.875,0.2729,0.66404,0.98137,0.90549,0.88316,0.95383,0.94444,0.21715,0.60138,0.40934,0.0009505,0.0009505,0.0009505
5,235.896,0.26308,0.65836,0.97735,0.7776,0.86552,0.93402,0.89538,0.38411,0.7981,0.6024,0.000934,0.000934,0.000934
6,282.608,0.23384,0.58893,0.95848,0.86537,0.86646,0.94233,0.85321,0.44819,0.71798,0.54286,0.0009175,0.0009175,0.0009175
7,329.129,0.22564,0.5624,0.95785,0.77021,0.90003,0.91574,0.91144,0.15422,0.71228,0.30909,0.000901,0.000901,0.000901
8,375.227,0.2155,0.53916,0.95313,0.92741,0.95464,0.98118,0.95172,0.27071,0.49083,0.51639,0.0008845,0.0008845,0.0008845
9,421.424,0.21683,0.51657,0.95393,0.88635,0.94759,0.97234,0.96464,0.21483,0.41949,0.39303,0.000868,0.000868,0.000868
10,468.835,0.2061,0.51582,0.95056,0.93904,0.94031,0.98505,0.976,0.18473,0.35392,0.32817,0.0008515,0.0008515,0.0008515
11,515.08,0.18447,0.4587,0.93845,0.81782,0.85578,0.96154,0.96034,0.1862,0.7165,0.31171,0.000835,0.000835,0.000835
12,560.577,0.17833,0.43746,0.93778,0.93675,0.97982,0.98782,0.98594,0.18723,0.28017,0.28879,0.0008185,0.0008185,0.0008185
13,606.297,0.17209,0.40742,0.92763,0.96921,0.9687,0.98909,0.9589,0.24147,0.34752,0.4276,0.000802,0.000802,0.000802
